"filename", "language", "HTML", "Markdown", "comment", "blank", "total"
"/var/www/html/15-numara/README.md", "Markdown", 0, 2, 0, 1, 3
"/var/www/html/15-numara/index.html", "HTML", 0, 0, 0, 1, 1
"Total", "-", 0, 2, 0, 2, 4
